Lemma,Past stem,Present stem,Passive/Causative stem,Agent stem,Transitive,Req.ەوە,هەڵ,دا,ڕا,ڕۆ,وەر,سەر,دەر,Postp(ـە),FreePP,Req.Preverb,Only.3SG.Obj
ئاخافتن,ئاخافت,ئاخێڤ,ئاخێڤ,,0,,,,,,,,,,,,
ئاخاوتن,ئاخاوت,ئاخێو,ئاخێور,ئاخێو,1,,,,,,,,,,,,
ئاخنین,ئاخنی,ئاخن,ئاخنر,ئاخن,1,,1,,,,,,,,,,
ئاژنین,ئاژنی,ئاژن,ئاژنر,ئاژن,1,,,,,,,,,,,,
ئاژووتن,ئاژووت [ئاژوت],ئاژوو [ئاژو],ئاژوور [ئاژور],ئاژوو [ئاژو],1,,,,,,,,,,,,
ئاڵان,ئاڵا,ئاڵێ,ئاڵ,,0,,,,,,,,,,,,
ئاڵۆسکان,ئاڵۆسکا,ئاڵۆسکێ,ئاڵۆسک,,0,,,,,,,,,,,,
ئاواسین,ئاواسی,ئاواس,ئاواسر,ئاواس,1,,1,,,,,,,,,,
ئاوسان,ئاوسا,ئاوسێ,ئاوس,,0,,1,,,,,,,,,,
ئەنگاوتن,ئەنگاوت,ئەنگێو,ئەنگێور,ئەنگێو,1,,,,,,,,,,,,
ئەنگووتن,ئەنگووت [ئەنگوت],ئەنگوو [ئەنگو][ئەنگوێ],ئەنگوور [ئەنگور],ئەنگوو,1,,1,,,,,,,,,,
ئێشان,ئێشا,ئێشێ,ئێش,,0,,,,,,,,,,,,
بارین,باری,بارێ,بار,,0,,,1,,,,,,,,,
بردن,برد,بە [بەر],بر,بەر²,1,,,,,,,,1,1,,,
برژان,برژا,برژێ,برژ,,0,,,,,,,,,,,,
برووکان,برووکا [بروکا],برووکێ [بروکێ],برووک [بروک],,0,1,,,,,,,,,,,
بریسکان,بریسکا,بریسکێ,بریسک,,0,1,,,,,,,,,,,
بریقان,بریقا,بریقێ,بریق,,0,1,,,,,,,,,,,
بزاوتن,بزاوت,بزێو,بزێور,بزێو,1,,,,,,,,,,,,
بزڕکان,بزڕکا,بزڕکێ,بزڕک,,0,,,,,,,,,,,,
بزووتن,بزووت [بزوت],بزوو [بزو],بزو,,0,,,,,,,,,,,,
بڕان,بڕا,بڕێ,بڕ,,0,,,1,,,,,,,,,
بڕین,بڕی,بڕ,بڕ,بڕ,1,,1,1,,,,,1,1,,,
بژاردن,بژارد,بژێر,بژێرر,بژێر,1,,1,,,,,,,,,,
بەخشین,بەخشی,بەخش,بەخشر,بەخش,1,,,,,,,,,,,,
بەزین,بەزی,بەز,بەز,,0,,1,1,,,,,,,,,
بەستن,بەست,بەست,بەستر,بەست,1,,1,1,,,,,,,,,
بواردن,بوارد,بوێر,بوێرر,بوێر,1,,,,1,,,,,,,,
بوردن,بورد [بوورد],بوور [بور],,,0,,,,1,,,,,,1,,
بووران,بوورا [بورا],بوورێ [بورێ],بوور [بور],,0,1,,,,,,,,,,,
بووژان,بووژا,بووژێ,بووژ,,0,1,,,,,,,,,,,
بوون,بوو,ب,,,0,,1,1,,,,,1,1,,,
بیستن,بیست,بیە [بیست][بیس],بیستر,بیست² [بیس],1,,,,,,,,,,,,
بێزران,بێزرا,بێزرێ,بێزر,,0,,,,,,,,,,,,
بێژان,بێژا,بێژێ,بێژر,بێژێ,1,,,,,,,,,,,,
پاچین,پاچی,پاچ,پاچر,پاچ,1,,1,1,,,,,,,,,
پاراستن,پاراست,پارێز,پارێزر,پارێز,1,,,,,,,,,,,,
پاڕان,پاڕا,پاڕێ,پاڕ,,0,1,,,,,,,,,,,
پاڵاوتن,پاڵاوت,پاڵێو,پاڵێور,پاڵێو,1,,,,,,,,,,,,
پچڕان,پچڕا,پچڕێ,پچڕ,,0,,,1,,,,,,,,,
پچڕکان,پچڕکا,پچڕکێ,پچڕک,,0,,,,,,,,,,,,
پچڕین,پچڕی,پچڕ,پچڕ,پچڕ,1,,1,,,,,,,,,,
پرژان,پرژا,پرژێ,پرژ,,0,,,,,,,,,,,,
پرسین,پرسی,پرس,پرسر,پرس,1,,,,,,,,,,,,
پروان,پروا,پروێ,پرو,,0,,1,,,,,,,,,,
پڕوسکان,پڕوسکا,پڕوسکێ,پڕوسک,,0,,,1,,,,,,,,,
پڕووزان,پڕووزا,پڕووزێ,پڕووز,,0,,1,,,,,,,,,,
پڕووکان,پڕووکا,پڕووکێ,پڕووک,,0,,1,,,,,,,,,,
پژان,پژا [پژی],پژێ [پژ],پژ,,0,,1,1,,,,,,,,,
پژمین,پژمی,پژم,پژم,,0,,,,,,,,,,,,
پسان,پسا,پسێ,پس,,0,,,,,,,,,,,,
پسکان,پسکا,پسکێ,پسک,,0,,,,1,,,,,,,,
