LEMMA,TR,PAST,PRESENT,PASSIVE/CAUSATIVE,AGENT,FLAGS,SLANG
ئاخافتن,0,ئاخافت,ئاخێڤ,ئاخێڤ,,,
ئاخاوتن,1,ئاخاوت,ئاخێو,ئاخێور,ئاخێو,,
ئاخنین,1,ئاخنی,ئاخن,ئاخنر,ئاخن,,
ئاوسان,0,ئاوسا[ماسی][ماسا],ئاوسێ[ماسێ][ماس],ئاوس[ماس],,,
ئاژنین,1,ئاژنی,ئاژن,ئاژنر,ئاژن,,
ئاژووتن,1,ئاژووت[ئاژوت],ئاژوو[ئاژو],ئاژوور[ئاژور],ئاژوو[ئاژو],,
ئاڵان,0,ئاڵا[هاڵا],ئاڵێ[هاڵێ],ئاڵ[هاڵ],,,
ئاڵۆسکان,0,ئاڵۆسکا[ئاڵۆزکا],ئاڵۆسکێ[ئاڵۆزکێ],ئاڵۆسک[ئاڵۆزک],,,
ئێشان,0,ئێشا,ئێشێ[ێﮨشێ],ئێش,,,
ئەنگاوتن,1,ئەنگاوت,ئەنگێو,ئەنگێور,ئەنگێو,,
ئەنگووتن,1,ئەنگووت[ئەنگوت],ئەنگوو[ئەنگو][ئەنگوێ],ئەنگوور[ئەنگور],ئەنگوو,,
بارین,0,باری,بارێ,بار,,FreePP,
بردن,1,برد,بە[بەر],بر,بەر,PostpE,
برووکان,0,برووکا[بروکا],برووکێ[بروکێ],برووک[بروک],,ReqEWE,
برژان,0,برژا,برژێ,برژ,,FreePP,
بریسکان,0,بریسکا,بریسکێ,بریسک,,ReqEWE,
بریقان,0,بریقا,بریقێ,بریق,,ReqEWE,
بزاوتن,1,بزاوت,بزێو,بزێور,بزێو,,
بزووتن,0,بزووت[بزوت],بزوو[بزو],بزو,,,
بزڕکان,0,بزڕکا,بزڕکێ,بزڕک,,,
بواردن,1,بوارد,بوێر,بوێرر,بوێر,,
بوردن,0,بورد[بوورد],بوور[بور],,,FreePP,
بووران,0,بوورا[بورا],بوورێ[بورێ],بوور[بور],,ReqEWE,
بوون,0,بوو,ب,,,PostpE,
بووژان,0,بووژا[بوژا],بووژێ[بوژێ],بووژ[بوژ],,ReqEWE,
بڕان,0,بڕا,بڕێ,بڕ,,,
بڕین,1,بڕی,بڕ,بڕ,بڕ,PostpE,
بژاردن,1,بژارد,بژێر,بژێرر,بژێر,,
بیستن,1,بیست,بیس[بیە][بیست],بیستر,بیست[بیس],,
بینین,1,بینی,,,,,
بێزران,0,بێزرا,بێزرێ,بێزر,بێژ,,
بێژان,1,بێژا,بێژێ,بێژر,بێژێ,,
بەخشین,1,بەخشی,بەخش,بەخشر,بەخش,PostpE,
بەزین,0,بەزی,بەز,بەز,,PostpE|FreePP,
بەستن,1,بەست,بەست[بەس],بەستر[بەسر],بەست[بەس],,
پاراستن,1,پاراست,پارێز,پارێزر,پارێز,,
پاچین,1,پاچی,پاچ,پاچر,پاچ,,
پاڕان,0,پاڕا,پاڕێ,پاڕ,,ReqEWE,
پاڵاوتن,1,پاڵاوت,پاڵێو,پاڵێور,پاڵێو,,
پرسین,1,پرسی,پرس,پرسر,پرس,,
پروان,0,پروا,پروێ,پرو,,,
پرژان,0,پرژا,پرژێ,پرژ,,PostpE,
پسان,0,پسا,پسێ,پس,,,
پسکان,0,پسکا,پسکێ,پسک,,,
پشکنین,1,پشکنی,پشکن,پشکنر,پشکن,,
پشکووتن,0,پشکووت[پشکفت][پشکوا],پشکوێ[پشکوو][پشکو],پشکو,,,
پلیشان,0,پلیشا,پلیشێ,پلیش,,ReqEWE,
پوان,0,پوا,پوێ,پو,,,
پووکان,0,پووکا,پووکێ,پووک,,ReqEWE,
پچڕان,0,پچڕا,پچڕێ,پچڕ,,,
پچڕکان,0,پچڕکا,پچڕکێ,پچڕک,,,
پچڕین,1,پچڕی,پچڕ,پچڕ,پچڕ,,
پڕوسکان,0,پڕوسکا[پڕوسقا],پڕوسکێ[پڕوسقێ],پڕوسک[پڕوسق],,,
پڕووزان,0,پڕووزا[پڕوزا],پڕووزێ[پڕوزێ],پڕووز[پڕوز],,,
پڕووکان,0,پڕووکا,پڕووکێ,پڕووک,,,
پژان,0,پژا[پژی],پژێ[پژ],پژ,,,
پژمین,0,پژمی,پژم,پژم,,,
پڵۆخان,0,پڵۆخا,پڵۆخێ,پڵۆخ,,,
پڵۆسین,1,پڵۆسی,پڵۆس,پڵۆسر,پڵۆس,,
پۆسان,0,پۆسا,پۆسێ,پۆس,,,
پۆشین,1,پۆشی[پۆشا],پۆش[پۆشێ],پۆشر,پۆش[پۆشەر],,
پۆقین,0,پۆقی,پۆق,پۆق,,,
پیتاندن,1,پیتاند,پیتێن,پیتێنر,پیتێن,,
پیشان,0,پیشا,پیشێ,پیش,,,
پێوان,1,پێوا,پێو,پێور,پێو,,
پێچان,1,پێچا[پێچاند],پێچ[پێچێن],پێچر[پێچێنر],پێچ[پێچێن],,
پێکان,1,پێکا,پێک,پێکر,پێک,,
پەرداوتن,1,پەرداوت,پەردێو,پەردێور,پەردێو,,
پەرستن,1,پەرست,پەرست,پەرستر,پەرست,,
پەرموون,0,پەرموو,پەرموو,,,,
پەرژان,0,پەرژا,پەرژێ,,,,
پەساردن,1,پەسارد[پسارد],پەسێر[پسێر],پەسێرر[پسێرر],پەسێر[پسێر],,
پەستان,1,پەستا[پەستاوت],پەست[پەستێو],پەستر[پەستێور],پەستێو,,
پەشۆکان,0,پەشۆکا,پەشۆکێ,پەشۆک,,,
پەقین,0,پەقی,پەق,پەق,,,
پەنمان,0,پەنما,پەنمێ,پەنم,,,
پەڕین,0,پەڕی,پەڕ,پەڕ,,,
تاسان,0,تاسا,تاسێ,تاس,,,
تاشین,1,تاشی,تاش,تاشر,تاش,,
تاوان,0,تاوا,تاوێ,تاو,,,
ترازان,0,ترازا,ترازێ,تراز,,,
ترسان,0,ترسا,ترس[ترسێ],ترس,,,
ترشان,0,ترشا,ترشێ,ترش,,,
ترنجان,0,ترنجا,ترنجێ,ترنج,,PostpE,
تروسکان,0,تروسکا,تروسکێ,تروسک,,,
تروشکان,0,تروشکا[تووتا],تروشکێ[تووتێ],تروشک[تووت],,,
ترووکان,0,ترووکا,ترووکێ,ترووک,,,
تریقان,0,تریقا,تریقێ,تریق,,ReqEWE,
ترەکین,0,ترەکی[ترەکا],ترەکێ[ترەک],ترەک,,,
تسین,0,تسی,تسێ,تس,,,1
تلان,0,تلا,تلێ,تل,,,
تلیسان,0,تلیسا,تڵیسێ,تڵیس,,,
توان,0,توا[تاوا],توێ[تاوێ],تو[تاو],,ReqEWE,
توانین,1,توانی,توان,توانر,توان,,
تووڕان,0,تووڕا,تووڕێ,تووڕ,,,
توێژین,0,توێژی[توێژا][تۆژی],توێژ[توێژێ][تۆژ],,,ReqEWE,
تڕین,0,تڕی,تڕێ,تڕ,,,1
تکان,0,تکا,تکێ,تک,,,
تۆران,0,تۆرا[تۆری],تۆرێ[تۆر],تۆر,,,
تۆقین,0,تۆقی[تۆقا],تۆق[تۆقێ],تۆق,,FreePP,
تۆپین,0,تۆپی,تۆپ,تۆپ,,,
تیزان,0,تیزا,تیزێ,تیز,,,
تەران,0,تەرا,تەرێ,تەر,,,
تەرەکین,0,تەرەکی,تەرەک,تەرەک,,,
تەزین,0,تەزی,تەز,تەز,,,
تەفتان,0,تەفتا,تەفتێ,تەفت,,,
تەقین,0,تەقی,تەق[تەقێ],تەق,,,
تەنین,1,تەنی,تەن,تەنر,تەن,,
تەپین,0,تەپی,تەپێ,تەپ,,,
تەکان,0,تەکا[تەکی],تەکێ[تەک],تەک,,,
جمان,0,جما[جمی],جمێ,جم,,,
جنین,1,جنی[ئەنجنی],جن[ئەنجن],جنر[ئەنجر],جن[ئەنجن],,
جوون,1,جوو[جاوی],جوو[جاو],جوور[جاور],جوو[جاو],,
جووڵان,0,جووڵا[جوڵا],جووڵێ[جوڵێ],جووڵ[جوڵ],,FreePP,
جۆشین,0,جۆشی,جۆش,جۆش,,,
جەنگان,0,جەنگا[جەنگی],جەنگ[جەنگێ],جەنگ,,,
جەڕان,0,جەڕا,جەڕێ,جەڕ,,,
چاندن,1,چاند,چێن,چێنر,چێن,,
چرسین,0,چرسی,چرس,چرس,,,
چرووسان,0,چرووسا,چرووسێ,چرووس,,,
چرچان,0,چرچا,چرچێ,چرچ,,,
چزان,0,چزا,چزێ,چز,,,
چنین,1,چنی,چن,چنر,چن,,
چووزان,0,چووزا,چووزێ,چووز,,ReqEWE,
چوون,0,چوو,چ,چوو,,PostpE,
چڕین,1,چڕی,چڕ,چڕ,چڕ,,
چکان,0,چکا,چکێ,چک,,ReqEWE,
چڵەکین,0,چڵەکی[چەنی],چڵەک[چەن],چڵەک[چەن],,,
چۆپین,0,چۆپی,چۆپ,چۆپ,,,
چۆڕان,0,چۆڕا,چۆڕێ,چۆڕ,,,
چێشتن,1,چێشت[چەشت][چەشی],چێژ[چەش],چێژر,چێژ[چەش],,
چەرخان,0,چەرخا,چەرخێ,چەرخ,,PostpE,
چەسپان,0,چەسپا[چەسپی],چەسپێ[چەسپ],چەسپ,,PostpE|FreePP,
چەقین,0,چەقی[چەقا],چەق[چەقێ],چەق,,PostpE,
چەمان,0,چەما[چەمی],چەمێ,چەم,,,
چەوتان,0,چەوتا,چەوتێ,چەوت,,ReqEWE,
چەوسان,0,چەوسا[چەوسی],چەوسێ,چەوس,,ReqEWE,
حەجمین,0,حەجمی[حەجما],حەجم[حەجمێ],حەجم,,,
حەسان,0,حەسا[حەسی],حەسێ,حەس,,ReqEWE,
حەوان,0,حەوا,حەوێ,حەو,,,
حەپین,0,حەپی,حەپ,حەپ,,,
حەپەسان,0,حەپەسا,حەپەسێ,حەپەس,,,
خایان,0,خایا,خایێ[خەیێ],خای,,,
خرۆشان,0,خرۆشا[خورۆشا][خرۆشی],خرۆشێ[خورۆشێ],خرۆش[خورۆش],,PostpE,
خزان,0,خزا[خزی],خزێ,خز,,PostpE,
خستن,1,خست,خە,خر,خەر,PostpE,
خشان,0,خشا[خشی],خشێ,خش,,PostpE,
خلیسکان,0,خلیسکا,خلیسکێ,خلیسک,,PostpE,
خنکان,0,خنکا,خنکێ,خنک,,,
خواردن,1,خوارد,خۆ,خور,خۆر,,
خواستن,1,خواست,خواز,خوازر,خواز,,
خوران,0,خورا,خورێ,خور,,,
خورپان,0,خورپا,خورپێ,خورپ,,,
خولان,0,خولا,خولێ,خول,,,
خولقان,0,خولقا,خولقێ,خولق,,,
خووسان,0,خووسا,خووسێ,خووس,,,
خوڕان,0,خوڕا,خوڕێ,خوڕ,,,
خوڕین,1,خوڕی,خوڕ,خوڕ,خوڕ,PostpE,
خوێندن,1,خوێند,خوێن,خوێنر,خوێن,,
خڵافان,0,خڵافا,خڵافێ,خڵاف,,,
خەرەفان,0,خەرەفا,خەرەفێ,خەرەف,,,
خەسان,0,خەسا,خەسێ,خەس,,,
خەفەتان,0,خەفەتا,خەفەتێ,خەفەت,,,
خەمڵین,0,خەمڵی[خەمڵا],خەمڵێ[خەمڵ],خەمڵ,,,
خەوتن,0,خەوت,خەو,خەو,,,
خەڵەتان,0,خەڵەتا[خڵەتا],خەڵەتێ[خڵەتێ],خەڵەت[خڵەت],,,
خەڵەفان,0,خەڵەفا,خەڵەفێ,خەڵەف,,,
داران,0,دارا,دارێ,دار,,ReqEWE,
داشتن,1,داشت,دێر,دێرر,دێر,,
دان,1,دا,دە,در,دەر,PostpE,
درنگان,0,درنگا,درنگێ,درنگ,,,
دروون,1,دروو[دووری][دوری][درو],دروو[دوور][دور][درو],دروور[دوور][دور][درور],دروو[دوور][دور][درو],,
درکان,0,درکا,درکێ,درک,,,
درەوشان,0,درەوشا,درەوشێ,درەوش,,,
دزین,1,دزی,دز,دزر,دز,,
دوان,0,دوا,دوێ,دو,,,
دڕان,0,دڕا,دڕێ,دڕ,,,
دڕین,1,دڕی,دڕ,دڕ,دڕ,,
دۆزین,1,دۆزی,دۆز,دۆزر,دۆز,,
دۆشین,1,دۆشی,دۆش,دۆشر,دۆش,PostpE,
دۆڕان,0,دۆڕا,دۆڕێ,دۆڕ,,,
دیتن,1,دیت[بینی][دی],بین,بینر[دیتر],بین,,
دێران,0,دێرا,دێرێ,دێر,,,
دەقان,0,دەقا,دەقێ,دەق,,ReqEWE,
دەلان,0,دەلا,دەلێ,دەل,,,
دەمین,0,دەمی[دەما],دەم[دەمێ],دەم,,,
دەوین,0,دەوی,دەو,دەو,,,
ڕازان,0,ڕازا,ڕازێ,ڕاز,,,
ڕانین,1,ڕانی,ڕان,ڕانر,ڕان,,
ڕزین,0,ڕزی,ڕز,ڕز,,,
ڕستن,1,ڕست,ڕێس,ڕێسر,ڕێس,,
ڕشان,0,ڕشا,ڕشێ,ڕش,,ReqEWE,
ڕشتن,1,ڕشت,ڕێژ,ڕێژر,ڕێژ,,
ڕفان,0,ڕفا,ڕفێ,ڕف,,,
ڕمان,0,ڕما,ڕمێ,ڕم,,,
ڕنگان,0,ڕنگا,ڕنگێ,ڕنگ,,ReqEWE,
ڕنین,1,ڕنی,ڕن,ڕنر,ڕن,,
ڕوان,0,ڕوا,ڕوێ,ڕو,,,
ڕوانین,1,ڕوانی[نواڕی][نۆڕی],ڕوان[نواڕ][نۆڕ],ڕوانر[نواڕر][نۆڕر],,NoObject|PostpE,
ڕووتان,0,ڕووتا[ڕوتا],ڕووتێ[ڕوتێ],ڕووت[ڕوت],,ReqEWE|FreePP,
ڕووخان,0,ڕووخا[ڕوخا],ڕووخێ[ڕوخێ],ڕووخ[ڕوخ],,FreePP,
ڕووشان,0,ڕووشا[ڕوشا],ڕووشێ[ڕوشێ],ڕووش[ڕوش],,FreePP,
ڕژان,0,ڕژا,ڕژێ,ڕژ,,,
ڕۆیشتن,0,ڕۆیشت[ڕۆشت][ڕۆیی],ڕۆ,,,PostpE|FreePP,
ڕیان,0,ڕیا,ڕیێ,ڕی,,,1
ڕەتان,0,ڕەتا,ڕەتێ,ڕەت,,,
ڕەخسان,0,ڕەخسا,ڕەخسێ,ڕەخس,,,
ڕەنجان,0,ڕەنجا,ڕەنجێ,ڕەنج,,,
ڕەوین,0,ڕەوی,ڕەو,ڕەو,,,
زان,0,زا,زێ,,,,
زانین,1,زانی,زان,زانر,زان,Object3G,
زایین,0,زایی[زا],زێ,,,,
زرنگان,0,زرنگا,زرنگێ,زرنگ,,,
زڕان,0,زڕا,زڕێ,زڕ,,,
زۆرین,1,زۆری,زۆر,زۆرر,زۆر,ReqEWE,
زەڕین,0,زەڕی,زەڕ,,,,
ژاکان,0,ژاکا,ژاکێ,ژاک,,FreePP,
ژماردن,1,ژمارد,ژمێر,ژمێرر,ژمێر,,
ژیان,0,ژیا,ژی[ژیێ],ژی,,FreePP,
ژەنین,1,ژەنی[ژەند],ژەن,ژەنر,ژەن,,
سازان,0,سازا,سازێ,ساز,,,
ساندن,1,ساند,سێن,سێنر,سێن,,
ستان,0,ستا[سا],ست[س],ست[س],,ReqPreverb,
سرپان,0,سرپا,سرپێ,سرپ,,,
سرەوتن,0,سرەوت[سرەوا],سرەو[سرەوێ],سرەو,,FreePP,
سمین,1,سمی,سم,سمر,سم,,
سوان,0,سوا,سوێ,سو,,,
سووتان,0,سووتا[سوتا],سووتێ[سوتێ],سووت[سوت],,FreePP,
